Century,r_global_avg,arrival_eval_rate,arrival_flight_rate,meet_ttot_rate,sum_depflight,collisions_avg,wait_num_avg,fstep_avg,r_avg_0,r_avg_1,r_avg_2,r_avg_3,r_avg_4,r_avg_5,r_global_eval,r_eval_0,r_eval_1,r_eval_2,r_eval_3,r_eval_4,r_eval_5,r_eval_local,duration (s), dist_action
18500,-247.42,0.80,0.97,0.84,31,1.80,0.00,99.60,-20.34,-71.99,-50.34,-47.00,-24.64,-33.12,9.63,13.17,18.95,-41.20,16.15,-19.53,22.09,9.63,1324,[0.05817783 0.17919868 0.28320527 0.35208562 0.1273326 ]
18600,-376.04,0.90,0.98,0.70,30,0.60,0.00,87.20,-72.14,-106.90,-41.96,-70.30,-18.68,-66.06,84.76,21.85,19.29,18.10,15.78,-17.32,27.06,84.76,1595,[0.06110712 0.1883537  0.24994009 0.35370237 0.14689672]
18700,-196.54,0.90,0.98,0.83,30,1.20,0.00,88.60,-46.71,-73.31,-27.92,-33.22,-2.25,-13.13,80.76,35.80,18.41,3.88,15.88,-16.32,23.11,80.76,1274,[0.06319703 0.16957392 0.27595081 0.39633972 0.09493852]
18800,-316.11,0.90,0.97,0.66,29,0.60,0.00,97.40,-71.77,-66.79,-65.30,-49.70,-25.42,-37.11,8.47,-29.64,18.41,13.57,12.56,-30.21,23.78,8.47,1482,[0.0556369  0.19448511 0.24816984 0.34968277 0.15202538]
18900,-218.19,0.90,0.98,0.73,30,0.80,0.00,87.20,-23.92,-45.63,-66.71,-31.86,-19.01,-31.06,61.19,26.53,-61.07,17.27,13.12,36.68,28.66,61.19,1347,[0.0545809  0.19075466 0.27847396 0.3614592  0.11473127]
19000,-259.12,0.60,0.80,0.71,31,4.00,0.00,183.30,-63.02,-56.41,-49.86,-38.02,-22.19,-29.63,-686.18,-80.29,-96.31,-120.85,-166.79,-188.16,-33.78,-686.18,1385,[0.05301399 0.19321851 0.27125942 0.34257266 0.13993541]
19100,-301.09,0.80,0.93,0.79,28,13.50,0.00,115.30,-58.54,-73.07,-31.63,-68.20,-23.66,-45.98,-221.98,8.19,-52.24,1.36,-172.40,22.62,-29.51,-221.98,1412,[0.05613851 0.19359916 0.27256034 0.33053515 0.14716684]
19200,-366.35,0.80,0.90,0.74,27,4.60,0.00,130.20,-36.33,-85.69,-47.51,-87.38,-59.25,-50.19,-310.61,-89.50,-59.04,-109.35,-101.94,30.79,18.43,-310.61,1520,[0.05682904 0.18767908 0.27029608 0.33333333 0.15186246]
19300,-199.31,0.90,0.98,0.81,31,2.60,0.00,86.40,-22.60,-46.02,-46.54,-44.18,-23.58,-16.38,84.47,28.56,24.79,6.71,13.44,41.89,-30.92,84.47,1289,[0.05569155 0.19308446 0.2750918  0.37301102 0.10312118]
19400,-183.75,1.00,1.00,0.77,31,1.20,0.00,81.30,-40.86,-42.09,-27.87,-44.35,-13.47,-15.11,125.06,37.15,14.69,17.86,13.16,32.69,9.51,125.06,1344,[0.05372871 0.18203171 0.28567234 0.35173224 0.126835  ]
19500,-308.79,0.90,0.98,0.77,30,1.00,0.00,85.60,-70.89,-75.23,-54.16,-60.77,-25.43,-22.31,82.47,29.10,14.17,20.20,16.78,-23.51,25.73,82.47,1376,[0.0593692  0.18976941 0.27060694 0.34137291 0.13888153]
19600,-244.13,0.70,0.93,0.78,27,2.40,0.00,116.40,-30.89,-51.35,-46.49,-57.89,-29.93,-27.57,-152.75,-24.13,-38.88,-39.99,11.53,-80.91,19.63,-152.75,1315,[0.05596708 0.2260631  0.25953361 0.34540466 0.11303155]
19700,-237.23,0.80,0.95,0.62,32,4.80,0.00,104.30,-43.70,-46.08,-41.83,-57.85,-22.19,-25.57,-53.74,35.70,5.88,-49.84,-38.66,-39.24,32.42,-53.74,1336,[0.05986696 0.1751663  0.27854767 0.35670732 0.12971175]
19800,-293.52,0.80,0.93,0.57,30,15.80,0.00,113.70,-26.37,-54.66,-82.49,-41.16,-44.07,-44.77,-206.07,-59.83,-66.84,19.98,-76.40,-45.07,22.09,-206.07,1429,[0.06156853 0.17713169 0.25824579 0.39017835 0.11287564]
19900,-184.51,0.90,0.97,0.87,30,1.20,0.00,97.90,-51.80,-42.33,-33.66,-42.79,6.10,-20.03,28.66,33.58,21.70,-42.70,-39.79,32.62,23.25,28.66,1230,[0.05227606 0.16828194 0.2804699  0.38443465 0.11453744]
20000,-211.64,0.70,0.93,0.78,32,1.40,0.00,112.40,-53.70,-42.32,-57.39,-45.11,-5.19,-7.93,-143.07,27.35,-96.57,16.15,16.48,33.94,-140.42,-143.07,1263,[0.05137881 0.16632801 0.30798258 0.33962264 0.13468795]
20100,-301.43,0.90,0.97,0.93,30,3.80,0.00,95.50,-51.66,-56.64,-69.01,-47.14,-31.66,-45.32,-0.45,-28.68,21.56,20.91,7.94,-46.85,24.67,-0.45,1415,[0.05331939 0.19733403 0.26110821 0.36957658 0.11866179]
